target,Mandates,Not sure,Very unwilling,Somewhat unwilling,Neither willing nor unwilling,Somewhat willing,Very willing
No,Yes,148 (2.13%),317 (4.56%),272 (3.91%),683 (9.82%),1718 (24.71%),3814 (54.86%)
Yes,Yes,180 (0.99%),147 (0.81%),232 (1.27%),792 (4.34%),3184 (17.46%),13704 (75.14%)
