target,Mandates,Don't know,No confidence at all,Not very much confidence,A fair amount of confidence,A lot of confidence
No,No,218 (3.1%),286 (4.07%),753 (10.7%),3604 (51.23%),2174 (30.9%)
Yes,No,183 (2.31%),272 (3.44%),842 (10.64%),3987 (50.4%),2626 (33.2%)
