target,Mandates,Not working,Unemployed,Part time employment,Full time employment,Retired
No,No,708 (10.06%),645 (9.17%),1732 (24.62%),2485 (35.32%),1465 (20.82%)
Yes,No,815 (10.3%),952 (12.04%),1733 (21.91%),2641 (33.39%),1769 (22.36%)
